City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
82,Shangrao,CN,28.45,117.97,52.45,86,29,3.11,scattered clouds
83,Millville,US,39.4,-75.04,51.8,79,76,8.05,broken clouds
84,Alice Springs,AU,-23.7,133.88,68.0,28,25,8.05,scattered clouds
85,Saint George,US,37.1,-113.58,42.01,60,90,6.04,overcast clouds
86,Norman Wells,CA,65.28,-126.83,-13.0,83,75,4.7,broken clouds
87,Coahuayana,MX,18.73,-103.68,80.6,39,5,5.84,clear sky
88,Qaanaaq,GL,77.48,-69.36,19.89,80,100,11.56,overcast clouds
89,Mar De Espanha,BR,-21.87,-43.01,73.99,99,100,3.13,moderate rain
90,Ahipara,NZ,-35.17,173.17,63.01,53,78,9.33,broken clouds
91,Shetpe,KZ,44.17,52.12,27.28,85,0,4.63,clear sky
92,Codrington,AU,-38.27,141.97,53.24,80,41,8.39,scattered clouds
93,Para De Minas,BR,-19.86,-44.61,78.8,54,40,10.29,moderate rain
94,Bodri,IN,23.17,81.43,55.06,67,0,3.49,clear sky
95,Berbera,SO,10.44,45.01,77.99,77,97,11.59,light rain
96,Bethel,US,41.37,-73.41,48.2,49,20,5.82,few clouds
97,Gualan,GT,15.13,-89.37,84.2,42,20,16.11,few clouds
98,Mao,ES,39.89,4.27,55.4,50,0,17.22,clear sky
99,Lata,PT,40.16,-8.33,52.0,82,67,8.99,light rain
100,Yellowknife,CA,62.46,-114.35,5.0,77,75,5.82,broken clouds
101,Airai,TL,-8.93,125.41,61.47,100,100,0.89,overcast clouds
102,Cayenne,GF,4.93,-52.33,84.2,74,0,9.17,clear sky
103,Kisangani,CD,0.52,25.2,74.91,87,100,2.55,overcast clouds
104,Muros,ES,42.78,-9.06,46.0,90,22,3.0,few clouds
105,Sao Filipe,CV,14.9,-24.5,78.13,64,79,9.53,broken clouds
106,Akyab,MM,20.15,92.9,61.57,67,92,6.24,overcast clouds
107,Port Lincoln,AU,-34.73,135.87,59.11,69,1,1.92,clear sky
108,Mandalgovi,MN,45.76,106.27,-19.1,82,0,14.72,clear sky
109,Krasnyy Oktyabr,RU,56.12,38.88,8.44,96,64,5.95,broken clouds
110,Tasiilaq,GL,65.61,-37.64,28.4,68,98,3.36,light snow
111,Behshahr,IR,36.69,53.55,44.71,59,0,1.61,clear sky
112,Qasigiannguit,GL,68.82,-51.19,28.4,74,75,5.82,broken clouds
113,Liwale,TZ,-9.77,37.93,71.29,97,97,5.01,overcast clouds
114,Chingirlau,KZ,51.09,54.08,5.07,95,1,3.02,clear sky
115,Khasan,RU,42.43,130.64,20.8,83,98,12.68,overcast clouds
116,Hamilton,US,39.18,-84.53,35.6,69,90,5.82,overcast clouds
117,Eqbaliyeh,IR,35.3,51.54,33.8,79,0,6.93,clear sky
118,Nome,US,64.5,-165.41,30.2,80,90,16.11,snow
119,Tura,IN,25.52,90.22,57.09,75,0,2.55,clear sky
120,Antalaha,MG,-14.9,50.28,76.73,89,100,3.36,light rain
121,Bahia Blanca,AR,-38.72,-62.27,89.4,33,99,5.26,overcast clouds
122,Provideniya,RU,64.38,-173.3,24.8,92,90,29.08,snow
123,Visnes,NO,59.36,5.22,41.0,75,100,11.41,light intensity drizzle
124,Grand Gaube,MU,-20.01,57.66,75.0,81,88,1.01,overcast clouds
125,Tautira,PF,-17.73,-149.15,86.0,70,40,16.11,scattered clouds
126,Christchurch,NZ,-43.53,172.63,60.01,62,0,9.17,clear sky
127,Nouadhibou,MR,20.93,-17.03,66.2,88,75,12.75,broken clouds
128,Klaksvik,FO,62.23,-6.59,33.8,93,100,40.26,snow
129,Shaunavon,CA,49.65,-108.42,14.0,85,62,6.93,broken clouds
130,Port Alfred,ZA,-33.59,26.89,70.0,91,4,4.0,clear sky
131,Bakel,SN,14.9,-12.46,86.67,20,2,9.71,clear sky
132,Nguru,NG,12.88,10.45,71.33,21,0,9.08,clear sky
133,Marivan,IR,35.52,46.18,36.16,69,45,3.04,scattered clouds
134,Kerman,IR,30.28,57.08,41.0,38,75,6.93,broken clouds
135,Carupano,VE,10.67,-63.26,80.22,75,90,7.27,overcast clouds
136,Ayan,RU,56.45,138.17,-21.59,73,97,10.38,overcast clouds
137,Esperance,AU,-33.87,121.9,53.6,81,100,12.75,overcast clouds
138,Presidencia Roque Saenz Pena,AR,-26.79,-60.44,94.91,37,64,8.39,broken clouds
139,Kruisfontein,ZA,-34.0,24.73,66.99,85,0,0.25,clear sky
140,Faanui,PF,-16.48,-151.75,80.53,70,20,8.19,few clouds
141,Alta Floresta,BR,-9.88,-56.09,87.8,58,20,5.82,moderate rain
142,Ciudad Guayana,VE,8.35,-62.65,84.99,75,77,1.01,light rain
143,Luderitz,NA,-26.65,15.16,60.8,77,0,19.46,clear sky
144,Araouane,ML,18.9,-3.53,72.12,21,26,5.91,scattered clouds
145,Chabahar,IR,25.29,60.64,53.6,37,0,6.93,clear sky
146,Marks,RU,51.71,46.75,5.05,92,0,3.8,clear sky
147,Lagoa,PT,39.05,-27.98,57.02,74,100,17.92,overcast clouds
148,Chokurdakh,RU,70.63,147.92,-35.72,84,24,4.36,few clouds
